"","Plant_Species","Compartment","Treatment","Phylum","Class","Order","Family","n_ASVs"
"1","A. thaliana","Soil","meJA 0.1mM","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",1
"2","A. thaliana","Soil","meJA 0.1mM","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae",1
"3","A. thaliana","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"4","A. thaliana","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",1
"5","A. thaliana","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",3
"6","A. thaliana","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"7","A. thaliana","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",1
"8","A. thaliana","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",4
"9","A. thaliana","Soil","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"10","A. thaliana","Soil","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",1
"11","B. oleracea","Soil","meJA 0.1mM","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
"12","B. oleracea","Soil","meJA 0.1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",1
"13","B. oleracea","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",2
"14","B. oleracea","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",1
"15","B. oleracea","Soil","meJA 1mM","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
"16","B. oleracea","Soil","meJA 1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",1
"17","B. oleracea","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",2
"18","B. oleracea","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",2
"19","B. oleracea","Soil","Caterpillar OS","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
"20","B. oleracea","Soil","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",1
"21","B. oleracea","Soil","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",3
